ID,Title,Difficulty,Acceptance Rate,URL
3581,Count Odd Letters from Number,Easy,92.86,https://leetcode.com/problems/count-odd-letters-from-number/
3571,Find the Shortest Superstring II,Easy,52.1,https://leetcode.com/problems/find-the-shortest-superstring-ii/
3570,Find Books with No Available Copies,Easy,58.85,https://leetcode.com/problems/find-books-with-no-available-copies/
3582,Generate Tag for Video Caption,Easy,29.7,https://leetcode.com/problems/generate-tag-for-video-caption/
3560,Find Minimum Log Transportation Cost,Easy,41.03,https://leetcode.com/problems/find-minimum-log-transportation-cost/
3541,Find Most Frequent Vowel and Consonant,Easy,87.53,https://leetcode.com/problems/find-most-frequent-vowel-and-consonant/
3545,Minimum Deletions for At Most K Distinct Characters,Easy,72.33,https://leetcode.com/problems/minimum-deletions-for-at-most-k-distinct-characters/
3550,Smallest Index With Digit Sum Equal to Index,Easy,79.76,https://leetcode.com/problems/smallest-index-with-digit-sum-equal-to-index/
3536,Maximum Product of Two Digits,Easy,69.77,https://leetcode.com/problems/maximum-product-of-two-digits/
3512,Minimum Operations to Make Array Sum Divisible by K,Easy,86.63,https://leetcode.com/problems/minimum-operations-to-make-array-sum-divisible-by-k/
3491,Phone Number Prefix,Easy,73.5,https://leetcode.com/problems/phone-number-prefix/
3502,Minimum Cost to Reach Every Position,Easy,82.01,https://leetcode.com/problems/minimum-cost-to-reach-every-position/
3516,Find Closest Person,Easy,82.7,https://leetcode.com/problems/find-closest-person/
3492,Maximum Containers on a Ship,Easy,74.49,https://leetcode.com/problems/maximum-containers-on-a-ship/
3498,Reverse Degree of a String,Easy,87.06,https://leetcode.com/problems/reverse-degree-of-a-string/
3465,Find Products with Valid Serial Numbers,Easy,55.51,https://leetcode.com/problems/find-products-with-valid-serial-numbers/
3483,Unique 3-Digit Even Numbers,Easy,67.14,https://leetcode.com/problems/unique-3-digit-even-numbers/
3477,Fruits Into Baskets II,Easy,52.65,https://leetcode.com/problems/fruits-into-baskets-ii/
3487,Maximum Unique Subarray Sum After Deletion,Easy,27.46,https://leetcode.com/problems/maximum-unique-subarray-sum-after-deletion/
3450,Maximum Students on a Single Bench,Easy,86.09,https://leetcode.com/problems/maximum-students-on-a-single-bench/
3436,Find Valid Emails,Easy,55.01,https://leetcode.com/problems/find-valid-emails/
3467,Transform Array by Parity,Easy,89.53,https://leetcode.com/problems/transform-array-by-parity/
3507,Minimum Pair Removal to Sort Array I,Easy,56.04,https://leetcode.com/problems/minimum-pair-removal-to-sort-array-i/
3461,Check If Digits Are Equal in String After Operations I,Easy,77.51,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-i/
3415,Find Products with Three Consecutive Digits ,Easy,81.05,https://leetcode.com/problems/find-products-with-three-consecutive-digits/
3442,Maximum Difference Between Even and Odd Frequency I,Easy,61.4,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-i/
3423,Maximum Difference Between Adjacent Elements in a Circular Array,Easy,76.07,https://leetcode.com/problems/maximum-difference-between-adjacent-elements-in-a-circular-array/
3438,Find Valid Pair of Adjacent Digits in String,Easy,59.49,https://leetcode.com/problems/find-valid-pair-of-adjacent-digits-in-string/
3427,Sum of Variable Length Subarrays,Easy,85.07,https://leetcode.com/problems/sum-of-variable-length-subarrays/
3452,Sum of Good Numbers,Easy,69.17,https://leetcode.com/problems/sum-of-good-numbers/
3456,Find Special Substring of Length K,Easy,35.07,https://leetcode.com/problems/find-special-substring-of-length-k/
3417,Zigzag Grid Traversal With Skip,Easy,63.49,https://leetcode.com/problems/zigzag-grid-traversal-with-skip/
3471,Find the Largest Almost Missing Integer,Easy,36.67,https://leetcode.com/problems/find-the-largest-almost-missing-integer/
